FID,MSOA21CD,MSOA21NM,MEDIAN_AI,MIN_AI,MAX_AI,MEAN_PTAL_,Shape_Leng,mean_AI,Shape__Area,Shape__Length
366,E02000390,Hammersmith and Fulham 019,10.5021083866,7.40834973931,17.6175185042,3,3900.04930846,10.8377600663,347887.352729797,3900.04930845682
367,E02000391,Hammersmith and Fulham 020,18.4294962163,8.68002696511,24.5653594337,4,5143.92525541,17.639322571,665262.60647583,5143.92525541313
368,E02000392,Hammersmith and Fulham 021,14.8259811365,7.16319207187,23.5040145098,3,3574.54500819,14.8115687146,553347.963363647,3574.54500819412
369,E02000393,Hammersmith and Fulham 022,9.96542111329,6.22801872116,24.6432809983,3,3547.99392988,10.9745864809,355922.262649536,3547.99392987693
370,E02000394,Hammersmith and Fulham 023,9.20287729557,6.0704050382,20.0489805109,2,5347.16233758,9.97768173591,813698.431587219,5347.1623375846
371,E02000395,Hammersmith and Fulham 024,15.4699789246,1.23447155821,37.6790530243,4,6698.25072468,16.5851554876,1197374.21115875,6698.25072468115
372,E02000396,Hammersmith and Fulham 025,7.9294223715,1.30983716228,16.6568191999,2,5295.33598189,8.04743912359,705596.490013123,5295.33598188516
373,E02000397,Haringey 001,20.0481190652,9.09692164759,37.2926602887,4,4409.36996923,19.4076208632,563897.403450012,4409.3699692313
374,E02000398,Haringey 002,8.21204498211,0,16.4823443384,2,6859.85951582,7.82572710489,1191196.93286896,6859.85951582217
375,E02000400,Haringey 004,15.2367319906,0,28.2290825275,3,8165.29049669,13.3840659869,1333797.61212921,8165.29049669149
376,E02000401,Haringey 005,9.78089105262,2.26899473189,14.4346919581,2,4723.47260985,9.14579547098,746842.144195557,4723.47260984659
377,E02000402,Haringey 006,9.11554928584,0,18.1620128336,2,5540.13223148,9.44920408118,950670.358345032,5540.13223148345
378,E02000403,Haringey 007,15.9691239941,2.65034148317,48.8427707111,4,5898.94784289,18.6103671476,850896.856941223,5898.94784289008
379,E02000404,Haringey 008,11.5564089137,4.4062188951,33.8783639601,3,3985.80714242,14.4725034562,640952.069450378,3985.80714241714
